Problem,Topology,NumNodes,TempFailProb,PermFailProb,GridSize,ItersToConverge
push_sum,line,100,0.5,0.5,25,10
push_sum,imperfect_grid,100,0.1,0.5,5,9
push_sum,grid,100,0,0.5,5,10
push_sum,imperfect_grid,100,0.5,0.1,25,12
push_sum,imperfect_grid,100,0,0.1,5,7
push_sum,grid,100,0.5,0.5,25,11
push_sum,line,100,0,0.1,25,8
push_sum,grid,100,0,0.1,50,7
push_sum,fully_connected,100,0.1,0.5,50,9
push_sum,imperfect_grid,100,0.1,0.5,50,7
push_sum,imperfect_grid,100,0,0.5,5,10
push_sum,imperfect_grid,75,0.1,0.5,50,7
push_sum,imperfect_grid,100,0.5,0.5,50,7
push_sum,line,100,0.1,0.5,50,8
push_sum,imperfect_grid,100,0,0.5,25,9
push_sum,line,100,0,0.5,25,8
push_sum,imperfect_grid,100,0.1,0.5,25,7
push_sum,fully_connected,200,0,0.5,25,7
push_sum,fully_connected,200,0.5,0.5,25,9
push_sum,fully_connected,200,0.1,0.5,25,7
push_sum,fully_connected,200,0.1,0.1,25,8
push_sum,fully_connected,200,0,0.5,50,8
push_sum,imperfect_grid,100,0.5,0.5,25,12
push_sum,grid,10,0,0,5,839
push_sum,line,100,0.5,0.1,50,7
push_sum,fully_connected,200,0.5,0.5,50,7
push_sum,fully_connected,100,0.5,0.1,25,13
push_sum,grid,200,0,0.1,25,12
push_sum,fully_connected,200,0,0.1,25,12
push_sum,grid,75,0,0.5,50,7
push_sum,fully_connected,200,0.1,0.5,50,8
push_sum,line,100,0.5,0.1,5,7
push_sum,grid,200,0.1,0.5,5,7
push_sum,grid,100,0.5,0.1,5,25
push_sum,fully_connected,100,0,0.1,25,13
push_sum,line,75,0.1,0.1,25,46
push_sum,imperfect_grid,75,0,0.5,25,8
push_sum,fully_connected,200,0,0.1,50,14
push_sum,imperfect_grid,100,0.5,0.5,5,15
push_sum,line,100,0.5,0.5,50,10
push_sum,line,50,0,0.1,50,32
push_sum,grid,200,0.5,0.1,50,8
push_sum,line,100,0,0.1,50,22
